"lang","es"
"dateFormat","d.m.Y"
"Table_intro","En la siguiente lista puedes ver los anuncios actuales. Si encuentras uno a tu medida, mándale un mensaje a la persona que ha publicado el anuncio."
"Table_filtern","filtrar"
"Table_Title ","Tabla"
"Table_col_name","Nombre"
"Table_col_spracheAng","Idioma ofrecido"
"Table_col_spracheGes","Idioma buscado"
"Table_col_datum","Publicado el"
"Table_col_ort","Sitio"
"Table_filter_alle","todo"
"Add_intro","¿No has encontrado ningún anuncio adecuado? En este caso puedes registrar en la lista el tipo de Tándem que desearías."
"Add_name","Nombre"
"Add_email","E-mail"
"Add_email_nochmal","Repetir e-mail"
"Add_alter","Edad"
"Add_ort","Domicilio"
"Add_geschlecht","Sexo"
"Add_skills","¿Cómo hablas el idioma que quieres aprender/mejorar?"
"Add_skills_0","un poco"
"Add_skills_1","más o menos"
"Add_skills_2","bien"
"Add_skills_3","muy bien"
"Add_spracheAng","Idioma ofrecido"
"Add_spracheGes","Idioma deseado"
"Add_beschreibung","Cuéntanos un poco sobre tí"
"Add_senden","enviar"
"Add_email_subject","%s-Sprach-Tandem: Tu anuncio"
"Add_notification_email",""
"Add_datenschutz","Concuerdo con que mis datos como por ejemplo mi nombre y mi dirección de correo electrónico se guarden en el sistema. Estos datos solo serán usados para el intercambio de idiomas que el KuB ofrece "
"Add_ausfuellen","Por favor, rellena todas las casillas, proporciona una dirección de E-mail váilda i acepta las condiciones de privacidad de datos."
"Add_Title","poner un anuncio"
"Add_gesendet","Tu anuncio ha sido aceptado.

Ahora recibirás un e-mail con un link para activar tu anuncio. Cuando hagas click sobre éste link, tu anuncio será publicado."
"Add_nichtGesendet","El email de confirmación no se ha podido enviar. Probablemente la dirección de email que nos has proporcionado sea incorrecta."
"zurueck","espalda"
"View_alter","Edad"
"View_geschlecht","Sexo"
"View_skills","Nivel"
"View_skills_0","un poco"
"View_skills_1","más o menos"
"View_skills_2","bien"
"View_skills_3","muy bien"
"View_ort","Domicilio"
"View_spracheAng","Idioma ofrecido"
"View_spracheGes","Idioma buscado"
"View_beschreibung","Descripción"
"View_Form_name","Nombre"
"View_Form_alter","Edad"
"View_Form_geschlecht","Sexo"
"View_Form_ort","Domicilio"
"View_Form_email","Dirección de E-mail"
"View_Form_email_nochmal","Repetir E-mail"
"View_Form_text","Tu mensaje"
"View_Form_nachrichtAn","Enviar mensaje a "
"View_Form_ausfuellen","Por favor, rellena todas las casillas, proporciona una dirección de E-mail váilda i acepta las condiciones de privacidad de datos."
"View_Form_senden","enviar"
"View_AnzeigeMelden","denunciar el anuncio"
"View_gesendet","Tu mensaje ha sido enviado. Si la persona que ha publicado este anuncio tiene interés en hacer un Tándem contigo, te contactará a ti directamente."
"View_nichtGesendet","Tu mensaje no se ha podido enviar. Probablemente la dirección de email que nos has proporcionado sea incorrecta."
"View_email_subject","%s-Sprach-Tandem: Tienes un mensaje nuevo"
"View_notification_email","Hola %s,

%s está interesado en hacer un Tándem %s-%s contigo.

Edad: %s
Sexo: %s
Domicilio: %s
Dirección de E-Mail: %s

Nos ha dejado este mensaje para ti:

%s


Pasadlo muy bien en vuestro primer encuentro! Le recomendamos que la primera reunión de intercambio de idioma sea online; puede ser, por ejemplo, a través de Jitsi o Skype. Si se va a encontrar por primera vez con una persona desconocida, le recomendamos hacerlo en un lugar público donde no se encuentre solo/a.

Saludos,

%s-Sprach-Tandem-Team"
"View_datenschutz","Concuerdo con que mis datos como por ejemplo mi nombre y mi dirección de correo electrónico se guarden en el sistema. Estos datos solo serán usados para el intercambio de idiomas que el KuB ofrece"
"sprache_afrikaans","Afrikaans"
"sprache_albanisch","Albanés"
"sprache_amharisch","Amárico"
"sprache_arabisch","Árabe"
"sprache_armenisch","Armenio"
"sprache_bambara","Bambara"
"sprache_bengali","Bengali"
"sprache_bosnisch","Bosnio"
"sprache_bulgarisch","Búlgaro"
"sprache_chinesisch","Chino"
"sprache_daenisch","Danés"
"sprache_deutsch","Alemán"
"sprache_englisch","Inglés"
"sprache_estnisch","Estonia"
"sprache_ewe","Ewe"
"sprache_finnisch","Finlandés"
"sprache_franzoesisch","Francés"
"sprache_fula","Fula"
"sprache_griechisch","Griego"
"sprache_gujarati","Gujarati"
"sprache_hausa","Hausa"
"sprache_hebräisch","Hebreo"
"sprache_hindi","Hindi"
"sprache_igbo","Igbo"
"sprache_indonesisch","Indonesio"
"sprache_isländisch","Islandés"
"sprache_italienisch","Italiano"
"sprache_japanisch","Japonés"
"sprache_javanisch","Javanés"
"sprache_kannada","Kannada"
"sprache_kikongo","Kikongo"
"sprache_koreanisch","Coreano"
"sprache_krio","Krio"
"sprache_kroatisch","Croata"
"sprache_kurdisch","Kurdo"
"sprache_lamnso","Lamnso"
"sprache_lettisch","Letón"
"sprache_lingala","Lingala"
"sprache_litauisch","Lituano"
"sprache_maltesisch","Maltés"
"sprache_marathi","Marathi"
"sprache_mazedonisch","Macedonio"
"sprache_mongolisch","Mongol"
"sprache_niederlaendisch","Holandés"
"sprache_norwegisch","Noruego"
"sprache_russisch","Ruso"
"sprache_paschto","Paschto"
"sprache_persisch","Persa"
"sprache_pidgin","Pidgin"
"sprache_polnisch","Polaco"
"sprache_portugiesisch","Portugués"
"sprache_punjabi","Punjabi"
"sprache_romanes","Romanes"
"sprache_rumaenisch","Rumano"
"sprache_serbisch","Serbio"
"sprache_singhalesisch","Cingalés"
"sprache_schwedisch","Sueco"
"sprache_slowakisch","Eslovaco"
"sprache_slowenisch","Esloveno"
"sprache_somali","Somali"
"sprache_sotho","Sotho"
"sprache_spanisch","Español"
"sprache_swahili","Swahili"
"sprache_tamilisch","Tamil"
"sprache_telugu","Telugu"
"sprache_thailaendisch","Thai"
"sprache_tigrinya","Tigrinya"
"sprache_tschechisch","Checo"
"sprache_tuerkisch","Turco"
"sprache_twi","Twi"
"sprache_ukrainisch","Ucranio"
"sprache_ungarisch","Húngaro"
"sprache_urdu","Urdu"
"sprache_weissrussisch","Belarús"
"sprache_wolof","Wolof"
"sprache_vietnamesisch","Vietnamita"
"sprache_yoruba","Yoruba"
"sprache_zulu","Zulu"
"sprache_gebaerdensprache","Lenguaje por señas"
"releaseDataset","Activar anuncios"
"releaseDataset_Title","%s- Intercambio de idiomas - Activar anuncio"
"deleteDataset_button_yes","Sí"
"deleteDataset_button_no","No"
"deleteDataset","Borrar anuncio"
"deleteDataset_Title","%s- Intercambio de idiomas - ¿ Está seguro de que quiere borrar el anuncio?"
"editDataset","Los cambios en tu anuncio has sido realizados"
"editDataset_Title","%s- <intercambio de idiomas - Editar anuncio"
"Report_Title","%- Intercambio de idioma - Crear un anuncio"
"Statistik_Title","%-Intercambio de Idioma - Estadística "
"Title","%s-Intercambio de idioma"
"Report_Form_email","correo electrónico ( opcional) "
"Report_Form_email_nochmal","Repetir el correo electrónico"
"Report_Form_name","Nombre (opcional)"
"Report_Form_text","Por favor describa porqué desea reportar este anuncio"
"Report_Form_senden","enviar"
"Report_textabove","El %s- Intercambio de idioma propone una comunicación libre de discriminación. En caso de experiencias desagradables por favor háganoslo saber. "
"Report_gesendet","Mensaje enviado"
"Report_nichtGesendet","Mensaje enviado"
"Report_zurück","espalda"
"Report_email_subject","%s-intercambio de idiomas - anuncio denunciado"
