lang,de
dateFormat,d.m.Y
Table_intro,"In der folgenden Liste können Sie die aktuellen Anzeigen sehen. Falls eine passende Anzeige für Sie dabei ist, können Sie der Person einfach eine Nachricht schicken."
Table_filtern,filtern
Table_Title ,Tabelle
Table_col_name,Name
Table_col_spracheAng,Angebotene Sprache
Table_col_spracheGes,Gesuchte Sprache
Table_col_datum,Eingestellt am
Table_col_ort,Ort
Table_filter_alle,alle
Add_intro,Keine passende Anzeige gefunden? Dann tragen Sie ihren Tandem-Wunsch einfach selbst in die Liste ein.
Add_name,Ihr Name
Add_email,Ihre Email-Adresse
Add_email_nochmal,Email-Adresse wiederholen
Add_alter,Ihr Alter
Add_ort,Ihr Wohnort
Add_geschlecht,Ihr Geschlecht
Add_skills,Wie gut können Sie ihre Wunschsprache sprechen?
Add_skills_0,ein bisschen
Add_skills_1,geht so
Add_skills_2,gut
Add_skills_3,sehr gut
Add_spracheAng,Von Ihnen angebotene Sprache
Add_spracheGes,Ihre Wunschsprache
Add_beschreibung,Erzählen Sie ein bisschen von sich
Add_senden,senden
Add_email_subject,%s-Sprach-Tandem: Ihre Anzeige
Add_notification_email,"Hallo %s,

wir freuen uns, dass Sie eine Anzeige beim %s-Sprach-Tandem aufgegeben haben. Bitte klicken hier um ihr Angebot zu aktivieren:
%s

Interessierte können Sie nun über unser Portal kontaktieren. Wir leiten Ihnen Anfragen mit den Kontaktdaten weiter. Sie entscheiden dann, ob Sie in direkten Kontakt treten möchten.

Wir empfehlen Ihnen für die ersten Treffen einen unserer vorgeschlagenen Orte zu nutzen. Diese finden Sie auf der Homepage.

Wir wünschen Ihnen viel Erfolg und viel Spaß beim %s-Sprach-Tandem!

Beste Grüße

%s-Sprach-Tandem-Team



Sie können Ihr Angebot unter dem folgenden Link löschen:
%s

Sie können Ihr Angebot unter dem folgenden Link bearbeiten:
%s

Bei Fragen und Anregungen können Sie sich unter der folgenden Email-Adresse bei uns melden: %s"
Add_datenschutz,"Ich bin einverstanden, dass meine Daten wie zum Beispiel mein Name und meine Emailadresse gespeichert werden. Diese Daten werden nur zum Betrieb des KuB-Sprach-Tandems verwendet."
Add_ausfuellen,"Bitte alle Felder ausfüllen, ein gültige Email-Adresse angeben und die Datenschutzbedingungen akzeptieren."
Add_Title,Anzeige aufgeben
Add_gesendet,"Ihre Anzeige wurde aufgenommen.

Sie werden jetzt eine Email von uns erhalten, die einen Aktivierungslink für die Anzeige enthält. Wenn Sie auf diesen Link klicken, wird Ihre Anzeige veröffentlicht."
Add_nichtGesendet,Die Bestätigungsemail konnte leider nicht versendet werden. Wahrscheinlich ist die von Ihnen eingegebene Email-Adresse nicht korrekt.
zurueck,zurück
View_alter,Alter
View_geschlecht,Geschlecht
View_skills,Sprachkenntnis
View_skills_0,ein bisschen
View_skills_1,geht so
View_skills_2,gut
View_skills_3,sehr gut
View_ort,Wohnort
View_spracheAng,Angebotene Sprache
View_spracheGes,Gesuchte Sprache
View_beschreibung,Beschreibung
View_Form_name,Ihr Name
View_Form_alter,Ihr Alter
View_Form_geschlecht,Ihr Geschlecht
View_Form_ort,Ihr Wohnort
View_Form_email,Ihre Emailadresse
View_Form_email_nochmal,Email-Adresse wiederholen
View_Form_text,Ihre Nachricht
View_Form_nachrichtAn,Nachricht senden an 
View_Form_ausfuellen,"Bitte alle Felder ausfüllen, ein gültige Email-Adresse angeben und die Datenschutzbedingungen akzeptieren."
View_Form_senden,senden
View_AnzeigeMelden,Anzeige melden
View_gesendet,"Ihre Nachricht wurde abgeschickt. Wenn der/die Anbieter_in dieser Anzeige Interesse an einem Sprach-Tandem mit Ihnen hat, wird er/sie sich direkt bei Ihnen melden."
View_nichtGesendet,Ihre Nachricht konnte nicht abgeschickt werden. Wahrscheinlich ist die von Ihnen eingegebene Email-Adresse nicht korrekt.
View_email_subject,%s-Sprach-Tandem: Sie haben eine Nachricht
View_notification_email,"Hallo %s,

%s ist an einem Sprach-Tandem %s-%s mit Ihnen interessiert.

Alter: %s
Geschlecht: %s
Wohnort: %s
Email-Adresse: %s

Es wurde folgende Nachricht bei uns für Sie hinterlassen:

%s


Wir wünschen Ihnen viel Spaß beim ersten Treffen

Beste Grüße

%s-Sprach-Tandem-Team"
View_datenschutz,"Ich bin einverstanden, dass meine Daten wie zum Beispiel mein Name und meine Emailadresse gespeichert werden. Diese Daten werden nur zum Betrieb des KuB-Sprach-Tandems verwendet."
sprache_afrikaans,Afrikaans
sprache_albanisch,Albanisch
sprache_amharisch,Amharisch
sprache_arabisch,Arabisch
sprache_armenisch,Armenisch
sprache_bambara,Bambara
sprache_bengali,Bengali
sprache_bosnisch,Bosnisch
sprache_bulgarisch,Bulgarisch
sprache_chinesisch,Chinesisch
sprache_daenisch,Dänisch
sprache_deutsch,Deutsch
sprache_englisch,Englisch
sprache_estnisch,Estnisch
sprache_ewe,Ewe
sprache_finnisch,Finnisch
sprache_franzoesisch,Französisch
sprache_fula,Fula
sprache_griechisch,Griechisch
sprache_gujarati,Gujarati
sprache_hausa,Hausa
sprache_hebräisch,Hebräisch
sprache_hindi,Hindi
sprache_igbo,Igbo
sprache_indonesisch,Indonesisch
sprache_isländisch,Isländisch
sprache_italienisch,Italienisch
sprache_japanisch,Japanisch
sprache_javanisch,Javanisch
sprache_kannada,Kannada
sprache_kikongo,Kikongo
sprache_koreanisch,Koreanisch
sprache_krio,Krio
sprache_kroatisch,Kroatisch
sprache_kurdisch,Kurdisch
sprache_lamnso,Lamnso
sprache_lettisch,Lettisch
sprache_lingala,Lingala
sprache_litauisch,Litauisch
sprache_maltesisch,Maltesisch
sprache_marathi,Marathi
sprache_mazedonisch,Mazedonisch
sprache_mongolisch,Mongolisch
sprache_niederlaendisch,Niederländisch
sprache_norwegisch,Norwegisch
sprache_russisch,Russisch
sprache_paschto,Paschto
sprache_persisch,Persisch
sprache_pidgin,Pidgin
sprache_polnisch,Polnisch
sprache_portugiesisch,Portugiesisch
sprache_punjabi,Punjabi
sprache_romanes,Romanes
sprache_rumaenisch,Rumänisch
sprache_serbisch,Serbisch
